mz,KOGCHUM1,KOGCHUM2,KOGCHUM3,WTGCHUM1,WTGCHUM2,WTGCHUM3,KORCHUM1,KORCHUM2,KORCHUM3,WTRCHUM1,WTRCHUM2,WTRCHUM3
146.0985388,29932.35824,94067.61118,146411.3271,229912.5686,160204.0231,126666.696,122203.111,41944.65751,65431.49963,40368.73104,17201.84222,5748.095255
148.7053275,17055.70013,74631.69105,147788.7081,384932.5572,484564.4573,395080.3236,450314.1474,191663.4766,509026.9143,439124.661,443909.1647,532866.9452
310.1505057,1132.819841,28240.85098,64950.48841,220730.3913,240386.1306,153767.2879,138003.2507,27382.40789,155168.88,104195.5516,82602.41353,136898.3673
132.4512963,785.512898,5232.049855,10283.00374,26115.20071,61879.48173,67387.815,177246.7258,118954.8431,171619.7767,194240.0828,200423.491,216142.0675
124.6838185,2822.714214,9625.854351,19705.04951,27979.91358,40690.41267,62817.66347,73672.07095,92147.52768,130095.5579,48787.51563,133774.1917,159725.7607
108.7872259,8671.571244,14004.68368,13944.50852,23914.43342,11521.58656,38439.23892,176608.8396,135663.834,192884.634,63621.36357,533502.3161,312329.5352
158.0222598,19508.05917,68782.73037,78718.33415,124728.3598,111296.0221,105387.4065,278782.0178,117480.2209,132481.7724,121235.6898,133817.7664,153969.3595
143.5597134,13989.1303,56183.21769,100739.8623,240795.1186,263201.6389,195251.3495,214210.9402,71592.65613,155458.4569,123163.1851,91049.35399,97309.90088
159.9764096,76342.20245,199468.3971,169554.7631,210499.0657,203196.2162,196691.5814,476188.9392,248318.4604,311362.6465,299889.752,298644.6739,317438.2499
130.9821931,131720.6199,336122.4916,281651.9257,336597.7389,342961.4727,333720.3244,752271.9095,423473.1893,517791.0494,497881.5971,469950.127,462370.3718
158.0069377,20640.17858,72311.50027,88313.58818,134510.8408,111299.8112,121436.834,275945.837,135978.3213,137763.3951,125823.0119,141828.9745,165214.1091
147.8286903,33067.8631,95173.67645,142088.2829,244628.6571,168013.3952,126273.315,132599.8818,39838.56363,67835.2181,38017.94352,13970.21297,3626.949019
122.0232916,353089.1816,546614.4966,521050.5511,482344.8633,438880.796,644384.7862,708306.9255,889941.7176,1212975.765,467688.4092,1383862.688,1642080.112
144.3986834,13483.83918,53105.62023,95348.20891,150665.5664,106258.6727,80669.29846,76192.66998,20671.34033,41065.50048,29124.16848,20938.24766,23437.28587
187.9983485,36034.38072,109558.8445,84751.38217,137351.8122,173360.7879,120360.0623,145747.2782,41519.85685,57406.97846,43578.60387,46555.54097,96071.57674
184.3025814,56928.34037,220317.39,322212.6684,353905.5241,218850.577,263832.0745,347864.4465,192311.9875,518899.5023,431106.6253,390830.7553,441926.175
189.2601082,26870.63707,80228.46353,59139.89863,114564.2707,161291.1524,125375.953,141805.4811,64347.8137,200349.1559,177303.673,180533.4169,231948.8059
177.2238901,131978.2148,532825.1404,1072285.933,2708804.305,3445031.803,2876737.168,3208558.032,1510076.96,3739844.665,3145163.327,3153479.414,3712851.357
164.2375582,45105.1907,163736.4134,218556.9645,85641.81924,181689.2573,178538.2028,198260.6728,65468.87802,94937.50494,70255.29463,116203.6022,224625.0701
179.5374105,98878.80606,403996.2952,713560.03,1689407.86,1815540.007,1372915.34,1430515.54,577543.8308,1145708.119,876322.3685,709342.2758,725542.3096
181.8966379,72823.65223,320819.3079,532746.2947,859897.528,600488.5732,359172.3289,309612.324,132219.4089,458279.2877,449860.4315,554873.1107,768282.7769
119.4426757,2660.284833,12395.45523,20641.74429,32642.70818,43159.20822,65936.48504,81428.80243,105129.81,138475.7115,54492.15403,138450.7599,215792.5847
120.7242655,3953.642675,15159.70333,29119.29368,55155.40342,81251.24639,143214.0968,174629.3879,265252.9607,443665.903,188434.5916,622592.9426,794609.3636
123.3426491,3764.925426,15017.10851,29497.07598,52999.23774,80503.43093,136494.2531,166483.3624,251296.4481,429691.0515,181251.1229,615397.2329,773864.4804
178.3750467,103663.8995,397719.2942,714584.9285,1240583.214,858347.1445,622499.0828,576877.996,217985.4512,378384.6236,297061.7932,245268.1157,312779.8372
160.9420333,207318.9679,345771.862,345123.3262,420794.6924,371118.48,413734.0396,994634.6686,625785.6891,958732.5934,1015797.15,1091318.715,1254386.502
162.9426071,8635.788139,42419.32367,59875.29136,129606.4092,180098.1088,167624.2013,435916.211,233551.7796,286937.2471,275493.212,244559.9154,252197.8317
158.9771806,641753.5804,1691668.988,1469191.609,1812871.692,1749061.708,1724591.339,4006660.048,2161496.652,2653197.759,2548720.393,2495959.172,2863803.307
176.0837846,235326.5667,695518.802,1072754.022,1681575.716,1156306.771,926947.5937,879950.9749,325208.0463,474845.0228,307920.5675,207181.197,178774.4979
173.8364724,206263.4665,678412.0613,1057850.52,1657177.452,1159222.444,947348.6831,880120.2472,327262.5483,479374.9332,297039.8694,188859.984,168615.8646
157.0483216,28547.43921,60357.12366,93306.02383,216636.2859,336401.9846,383004.8908,992542.1992,643320.7491,963365.5977,1023890.95,1123725.845,1272294.127
155.1541569,16330.88723,48245.16261,64473.18564,128990.0703,175910.761,184491.1499,448995.8229,255592.8944,295983.2118,282641.6647,247772.031,242976.7225
112.1662264,1196.260652,7345.591076,9922.280358,37411.7961,14916.25004,73793.11944,359943.0951,322400.8592,591047.0766,211276.2253,2253472.143,1417521.521
109.8908222,14756.43874,19576.04667,21593.99635,42855.77828,48560.00137,84685.99716,380182.6371,336497.0733,607595.5021,220072.2093,2314546.561,1491166.313
162.2135122,30892.31897,93857.73324,106947.681,116857.3234,155113.1779,108125.6634,116100.1606,56443.60326,190507.7782,183975.7984,191423.91,243376.7364
299.807738,903.6945681,23760.18214,58666.05294,212640.0501,231348.4878,152203.0764,139653.6345,30768.82429,153334.4361,97579.97691,83493.74558,133126.2077
183.0926459,66984.83157,249754.8116,379911.6585,439460.8962,147531.291,97328.32491,72038.42257,8043.897809,107997.402,96813.77646,124679.6633,187602.1452
167.3468036,71398.32846,278339.2895,422148.2953,495419.3617,225792.7061,150477.1833,140339.911,55679.57586,159802.8058,135593.2492,148594.003,215054.9554
149.5896134,12939.89831,50684.32238,95341.4496,190343.4272,130042.7186,85493.68736,86758.91209,31710.45763,55880.78011,36074.43714,22313.80173,27958.4207
174.9547972,6728795.007,15876312.19,17647270.06,21743091.66,17334682.2,13068385.91,12836210.7,5243952.441,10205446.46,7977198.425,7109053.802,7908934.345
166.300415,60475.60691,243439.4452,357965.0275,314994.1689,148815.3177,194583.1481,310033.8546,199763.9526,532845.5019,478508.767,414224.1481,454867.676
172.728936,117735.1139,538593.6902,1087662.313,2756650.665,3506933.006,2954445.538,3278126.789,1602150.038,3828462.565,3289378.718,3216521.56,3833795.664
171.6318666,102664.9194,398363.8182,716982.4067,1177730.869,833021.613,639043.3994,574816.811,230616.8183,365175.934,270047.5373,229680.6769,266391.8972
170.5453228,104531.3633,436149.0563,814438.3397,1741583.651,1896222.405,1458986.033,1479605.76,653332.3144,1186091.745,936210.7134,737363.705,739974.8481
168.4027942,83007.59788,348714.2084,575123.4372,876637.8315,587699.5797,308574.6634,207746.5497,60785.95586,414677.4604,453209.5783,569802.3366,786837.105
180.7111549,89631.00974,343871.2061,583811.0271,935856.2496,580852.0376,393624.2771,355277.7523,131824.9302,212086.4974,145568.4104,81463.60351,61063.76763
169.4689218,90087.52489,366043.9774,618400.5523,921848.6471,605987.3382,437703.6054,380486.0573,151628.5785,216591.3608,142907.2545,80988.58588,81626.3592
188.0111427,31182.56997,99347.64852,84340.31322,140015.0083,177639.1537,111336.2481,201616.4484,70224.53864,73596.05176,75581.14357,92191.45244,136754.3548
185.523532,43699.53384,166922.6395,202866.2915,93848.55364,171768.921,120935.3771,153154.9312,63134.62935,160466.6035,138750.1845,142608.3518,142451.3085
111.0170085,258295.848,386494.1171,343046.7764,380740.1921,262776.4896,389491.9248,1513170.745,1107032.177,1653697.856,571553.7814,5082745.883,3041136.255
141.4003291,2033.401578,8323.441011,19792.76483,29732.24685,24031.47936,32725.97558,56657.3641,40830.13626,35200.00276,114300.4891,180196.2674,111183.0147
143.0444718,74135.39952,121523.9394,154120.7649,154339.2161,109718.5208,157821.5628,259004.8666,151859.3514,99558.60337,294892.9557,416071.8581,245098.1647
130.0844845,63359.6626,249337.9769,1609371.175,1241610.517,368191.2561,342572.2632,1086220.453,225125.6657,1579764.175,169237.5065,230914.563,480949.1918
165.2644164,51595.74168,186860.6707,238873.3973,182621.3313,226922.0529,166572.2338,186630.5888,92200.00208,196577.855,152789.4673,118706.3909,132241.3728
151.7157046,15037.36875,68591.2965,130148.3124,216781.0998,149535.8141,93493.28422,78274.25421,20746.06129,43606.84847,24060.40704,8553.533325,10408.97238
297.0740685,124208.2161,260448.1068,327857.5384,208670.3267,101250.4364,266545.801,4218.742637,665.3547694,3434.592012,5887.3855,867.0289594,4701.228332
324.0933106,79301.19823,177788.8976,178261.2452,131829.4206,59995.62732,182030.2539,0,0,0,0,0,0
153.5469028,12958.05663,69735.71872,138760.9258,238374.7078,167806.7679,96949.29389,82636.72292,24013.24459,52161.10508,31975.80723,9882.205497,12201.43933
203.9726459,6921.128689,43877.17591,91344.5318,178705.2305,118564.8035,65713.38676,55867.62969,12043.68597,7486.355796,13270.83279,22778.53556,11874.4372
214.0256893,58953.62989,35844.51372,126701.8845,84138.68909,62804.39804,113100.7587,160943.1437,40055.91427,43522.97141,71667.74755,82339.85018,73388.55203
239.4229736,6612.034528,26990.08813,98971.10921,147128.1838,128942.8644,329984.3544,796538.7606,243813.3072,581312.8835,383123.7021,1703226.451,1024884.363
246.7839092,7637.732181,28273.62287,100604.1704,155447.2328,133740.2573,332418.483,798861.4239,231843.1651,579215.9561,366655.0656,1658748.756,1014907.128
243.0617031,498978.7799,876265.4744,1499924.247,1332900.608,755335.6563,1473635.871,3142235.664,816136.9304,1587945.623,936487.6824,3721311.233,2144133.741
135.029824,32143.90631,77316.4693,27423.26823,28631.41251,17779.72461,83061.08904,575561.2756,351961.8688,792790.1826,266197.7329,532801.244,910479.1443
133.5182254,0,0,1011.669403,929.0092858,755.8793239,11145.77406,139002.241,99720.95894,294341.1571,106878.5859,240491.966,432060.7155
136.5662797,118.9363574,2594.719531,3098.119102,8784.002979,4729.488242,12238.65097,135114.4108,96909.75909,281550.1494,101302.1013,234213.3009,430275.1041
128.6567791,368.4171276,1511.544484,88072.04697,149084.5174,70213.88918,65072.92298,269593.0487,61755.01517,573130.3175,64232.98503,106804.5632,228511.3902
219.0866854,23552.57508,83846.54085,82954.47755,67205.80855,68969.15669,46916.96199,4478.778683,2300.521613,7255.151323,3458.045799,3908.749029,22685.68569
235.8655684,5370.731801,7998.77297,62424.50609,80909.30434,20283.38554,148630.1738,344719.2039,77162.13529,160808.2134,102898.8003,376438.9017,193331.2506
279.0385283,8143.628095,13126.57937,88027.35868,21589.87534,4389.168425,40681.77314,464966.5501,220121.3927,224245.2665,227106.2522,672267.1764,402676.981
151.0248163,73362.51746,163503.3588,107831.0311,76347.82509,47538.09826,187058.909,1018082.91,2005880.499,1225700.668,372951.914,1897993.515,1567737.085
281.0355276,730.8172748,1299.460633,21095.01437,2233.554313,0,5442.361705,130140.0658,55583.36697,58769.83099,62199.71397,187923.7574,110418.9083
152.8438621,1187.11707,7117.257798,12869.97594,31425.40906,30012.64763,50265.05542,253542.3986,576333.8344,459482.0176,159743.372,847137.3965,754413.7771
149.2384527,305.4390417,3327.288544,7962.360588,14515.57696,13383.16062,35938.80181,257794.0926,604724.5599,429480.9092,153935.1682,865570.892,765310.5023
283.6207634,0,0,901.1764142,4575.582973,697.2506444,30002.73483,109724.2891,53182.88467,77156.97692,85192.44015,294514.5325,185409.5531
216.0329429,10104.48331,35189.35388,62603.14837,59475.08048,22322.64785,10239.27055,0,0,0,452.2724217,351.2243735,539.6808838
183.4385576,303.0470057,1342.755413,2245.012161,11940.85636,2941.160619,608.1990696,11178.1348,0,345696.7931,471694.1027,1881.852227,430602.3417
137.0594835,1109.123444,4008.297417,7287.340289,5858.595645,4360.698734,5691.795876,86928.6053,1612.278652,468360.8668,421300.99,141626.8705,494927.5244
138.6310848,88.43314672,773.7257153,2022.321065,4217.777207,2663.966338,2822.470594,17204.52537,7335.493029,163927.3446,157408.8215,55868.39154,222496.4079
181.0494208,23362.48101,21332.79302,34386.15265,27045.9054,25266.60785,22921.37761,100100.3447,24531.71263,956566.5356,1214566.212,21423.40893,934262.3148
241.1076231,25151.56929,75509.76893,131476.5829,92332.71143,57420.26384,119235.8762,948053.8878,100550.5233,195644.9103,1390471.142,256611.252,573680.2755
179.0702166,190703.0325,546936.1264,1161057.368,1019952.938,730757.8818,1113707.966,13110.4807,0,16503.28534,10570.31196,19637.85826,26048.13659
323.1013361,260.0835083,4758.893062,6819.881957,1931.779946,994.1046976,3212.095357,223399.1188,105002.5471,77422.79819,285867.2414,213220.6838,116794.6045
350.1204704,0,170.6012799,0,0,294.867126,0,116954.2968,57410.1487,41950.96081,161059.2552,113266.6024,62205.05126
181.4111525,7669.108558,21611.34399,71288.74115,129325.1825,157530.2113,256112.7381,69571.50412,33119.7501,67790.05261,48262.70234,32399.65308,36567.13965
107.0469382,4477.263473,8140.757799,11984.77968,8627.458444,6248.533525,8423.356827,183720.6107,13767.51007,73136.77145,137125.9882,73355.50742,21144.80338
227.0667726,11481.59182,47363.58375,80263.5963,78078.01323,31784.93674,241801.7681,393075.9079,76139.06116,142655.9921,32658.11991,182840.0868,108737.1727
248.2560158,0,0,0,0,0,0,226062.0196,60457.38579,103258.6565,123543.1825,211439.1882,260317.9054
256.0311747,0,0,0,0,0,0,215147.3149,54730.87027,99154.3624,115766.8069,201348.7728,247377.545
252.0986611,0,0,1561.993198,0,5361.043357,0,893965.69,209220.9824,280603.351,315665.5395,472773.5785,538575.8587
245.0485841,10125.06883,40299.80466,54038.3755,78350.77773,35544.30227,65867.05668,0,200.8768096,0,3516.171169,5801.102399,0
258.7937744,217.3821102,247.4986467,8850.223204,13769.35346,13482.72918,18478.75727,64625.79896,56125.13323,49517.72704,19895.5148,91143.36324,75148.16231
271.3627243,0,660.1064454,14116.5463,30526.71464,30715.21076,45781.24575,144746.5784,152040.9079,211419.5347,75788.2205,492839.0985,503294.27
217.1074825,65998.07402,33396.07486,79170.96741,156678.4561,246389.9405,160527.6363,991916.3821,57858.90982,373469.6369,1176464.706,354465.4171,1849908.911
267.0733968,101380.8756,129723.2433,317379.7038,300510.119,177987.8992,223277.4996,760787.6157,560335.9493,620463.4546,300074.0692,1147657.326,1103521.721
131.0700129,92087.90769,228282.2837,840460.7989,348746.899,188633.7609,558484.2603,467179.6484,123645.65,278518.6972,20935.21915,155513.5706,101727.2477
129.6250515,99.84141586,3630.878073,45614.64772,38773.21407,36032.67127,128740.2627,108535.619,34250.70336,95120.82909,10520.13635,56451.02329,37983.15405
297.4532071,0,0,0,0,0,0,73630.70434,8924.10063,603.774952,0,91390.50298,82916.87163
315.687479,0,0,0,306.9115162,299.3492605,288.7669742,291349.2784,52831.09119,48715.52015,0,377834.6624,301374.3662
294.9779782,309.03806,0,176.5093361,0,0,0,283522.5297,52594.01929,36509.68532,0,350769.3136,281255.8391
312.9825026,0,3760.700421,3367.215505,2324.593016,912.7810182,1899.101447,163023.8466,21542.51513,14069.33846,0,159753.2039,118224.0722
247.1177311,19529.00675,18277.02455,19050.26179,18081.34814,16262.27461,23366.90393,521229.1439,36104.63177,107993.6415,192400.5447,104325.9164,319165.2427
305.0693557,0,1169.94383,2247.221958,1147.322445,6586.831889,3259.48879,2800042.37,511985.2842,547291.5871,0,3883015.185,3356830.033
306.0727467,827.3859827,6340.568333,10361.9761,13117.40582,3725.333432,15946.8225,292766.7362,50319.82636,39546.81036,0,432007.2989,369727.0574
299.9599031,0,153.8425542,0,0,0,0,653575.3678,151328.57,180708.0662,0,1681627.274,1581624.108
310.3103837,0,173.0190043,1314.134898,26025.18684,35104.3768,21222.99788,667491.9271,151244.5521,201836.454,2737.827476,1728407.874,1617346.873
405.0636984,113.8771037,115.1223641,680.3524113,0,0,0,81203.89457,0,20646.36782,113604.4337,84251.2953,109460.3535
413.0982922,0,0,0,0,0,0,434076.9907,15169.29034,81198.0933,330726.1592,215917.8058,261121.4778
195.6817482,0,3388.965183,5507.105974,5860.509643,9308.554344,5411.421222,539395.1999,122740.9041,288155.7395,578287.074,472749.3472,505354.8034
219.6040526,0,0,0,0,0,0,471175.6824,101732.0264,250997.8882,492953.6051,342693.4798,329320.0488
203.2020946,0,0,0,0,55211.86832,2689.908256,8529037.784,1893427.275,5369344.233,10861071.7,9962258.626,11370908.38
208.9470736,471.6854883,0,0,0,54235.69405,1750.13673,8489861.456,1848194.19,5327149.891,10815500.28,9878331.518,11266476.88
234.5459046,0,0,0,0,0,0,157108.4105,41220.62788,73590.81973,144197.9393,67190.61962,129638.3412
206.0445922,1523.937822,3415.349778,36111.75873,13113.99119,283810.6612,26720.45992,34817763.88,6215629.119,14477973.88,26961309.75,22456863.72,23746251.8
218.0325476,3894.738494,467.5642828,2378.025128,6146.143527,9006.985199,6541.753272,900897.1178,239938.3576,712213.6975,1476000.849,1217227.65,1316767.784
207.0478723,0,0,0,0,19842.45306,0,3869101.004,678738.633,1583543.031,2968036.521,2470012.151,2630281.758
200.418067,0,0,0,0,29494.48968,599.2156685,3874047.104,746384.3084,1616646.089,2962668.259,2257334.765,2200504.64
211.9113085,0,0,0,0,26890.11445,0,3783578.4,702494.8141,1581336.721,2923101.778,2223029.284,2188266.298
160.0691125,11798.97299,15378.97328,15356.98614,23194.095,17489.4809,19351.99557,672936.8244,146087.7057,410223.3419,847515.5925,784098.954,890619.3727
195.0188427,5630.794835,4679.227302,4866.909464,4797.854017,843.5629018,3287.374566,739172.3962,239140.5677,704892.5101,1470189.74,1245021.826,1321497.31
164.0767845,11444.51839,29552.52447,37028.03874,27727.18131,95946.0633,95037.68132,671506.2035,138388.247,411088.5338,855251.7805,782277.4962,892705.1565
158.1203925,4012.578452,2429.313605,2670.35097,1681.14686,1154.508828,1237.081833,297006.7743,52740.98778,117309.2946,216498.0451,162415.8141,156236.7035
215.5894803,0,0,165.6339993,2034.648663,4436.967669,2555.815283,420718.5005,96828.61525,328104.558,717045.9211,638994.7623,742817.5755
210.4215944,0,0,0,0,8026.318808,0,1785846.24,286414.6891,600361.9043,1097287.493,845416.4964,880967.1088
192.4013894,0,0,0,0,832.3207007,2313.610808,485565.8339,84341.06774,130208.8016,243837.4092,359904.0603,675329.8667
203.9071083,0,0,0,0,4107.693933,0,1521090.347,250977.4512,450170.4484,661910.5613,420790.8568,434497.9302
204.6157769,0,0,0,0,13377.94881,0,2456346.441,381062.3609,692298.8769,1073009.605,676286.6211,504848.9786
213.4167698,0,0,0,272.8749086,8442.724247,2218.866663,1037497.711,163157.1251,273643.2288,452524.7288,258081.273,211414.3271
232.8034388,0,0,0,0,0,0,74038.90782,4734.595381,26916.16088,80376.25642,101072.5956,141774.5592
180.072273,3961.733706,10847.19871,22897.82155,79755.54011,95286.18254,61885.65417,122256.8366,30713.07926,63585.18664,149323.2259,175874.5736,267302.0272
209.5712517,0,0,0,0,10695.75454,0,1990680.936,368941.1218,943512.1414,1796541.624,1433895.909,1396149.697
204.1847524,0,0,0,0,392.9490532,0,884423.763,198035.5761,562317.1292,1149046.175,1055548.541,1216279.383
197.0177682,5605.366289,626.8157768,1357.677684,0,0,340.1771117,334342.3468,99319.43187,350380.5044,653730.7202,530587.7216,540689.6994
162.0545178,680.6047602,1426.905673,25535.63351,43281.0448,22193.21213,3987.129085,2800100.659,451557.0478,1122474.517,2141193.086,1780261.121,1879430.844
211.2750744,131.6349509,220.3556576,2050.632216,471.4504402,0,0,522074.2,100754.7407,350505.5554,734007.1385,682499.5876,766342.4105
227.7222089,102.4779877,0,0,0,0,0,270903.4402,58473.42584,106026.3997,209290.6452,183328.0312,304397.6948
154.3286042,0,120.9357437,0,229.9575437,600.6244097,431.2678921,48824.20545,13566.0195,48221.24945,101342.5464,83235.80237,89952.5219
224.422553,0,0,0,0,0,0,383874.8156,85566.83202,288429.5877,628304.6195,568351.7814,686879.5606
221.1922366,0,0,0,0,0,0,572679.1562,103173.2166,227933.06,421813.251,448961.1687,727985.3626
202.5007051,0,0,0,0,10020.8335,0,2151528.862,383718.9888,868020.5827,1370448.225,935710.2551,814695.3122
163.0580811,5100.338635,2268.611489,4364.145341,3812.784705,3782.844997,8690.129371,270577.004,35450.44851,89793.7744,180992.6427,142620.424,150422.8744
189.8349062,0,0,0,1025.804647,5265.019676,2280.606081,270451.7014,67978.1714,262721.2028,590325.536,561762.4411,691615.7303
216.477212,0,0,0,0,4791.212877,690.2435881,225278.3519,36857.43336,196596.9236,455936.754,428483.7636,546452.0644
231.095726,1698.477701,364.6660429,2657.074184,839.4086631,690.0966457,2722.234933,112497.2245,36061.22507,143742.1393,322043.2649,289578.188,390692.8929
214.9391028,0,0,163.8972452,0,5325.46293,0,879596.0481,147679.3617,686918.4072,1601044.13,1730841.308,2299817.938
226.0630698,245.034359,357.9378536,1520.426879,360.1313628,265.0827619,1255.834688,70502.65153,12265.3482,101452.6105,257676.3198,231162.072,263745.1982
197.6907989,0,0,0,0,4283.577677,377.1726852,548054.5203,75914.18003,619955.8101,1546966.364,1748468.595,2334122.77
156.2074598,101.1913796,112.9313727,0,257.5679828,217.8396093,0,37928.39589,3616.303388,40722.14889,109893.9163,125781.7141,166985.6972
199.7313999,0,0,0,0,2080.192183,0,1039922.666,153288.699,259046.8845,374528.1097,263926.2694,312496.9943
193.7031488,0,0,0,0,1027.812222,0,477776.3668,116267.1684,263195.2039,491005.8164,348295.7871,332562.6155
231.8276616,0,0,0,0,0,1215.436018,97675.02773,10739.72808,56843.38629,127631.6742,100590.6623,116452.4718
201.8026826,0,0,0,0,10466.47006,0,1472362.181,269808.6966,492911.1802,877586.3721,721816.3566,786037.4501
196.348185,0,0,0,0,0,0,324574.6082,62193.4421,228759.3945,492590.5759,458561.5086,580883.4287
188.571504,217.5097808,0,259.3866969,9405.674377,13977.24698,827.6296125,149352.188,28690.7529,116402.5408,269946.6097,241409.6241,279721.3652
199.047239,6476.580014,10138.19215,13055.13352,8575.063313,8490.064768,14993.64372,953491.5846,168009.622,271197.2192,430833.5618,253513.0193,223487.8837
198.367212,122.8221479,2753.676902,4158.060321,11059.4686,11834.59374,4877.894692,415098.706,130731.9364,316300.8719,596258.3337,445696.379,472121.2284
208.215689,0,0,0,0,3432.586654,0,1494087.642,246377.9,374233.3875,447743.8918,271162.5449,318762.2333
269.0408043,0,282.9876494,0,0,0,0,339477.6139,96260.71611,171454.1177,287727.4791,239634.9829,239816.7815
190.4716013,1396.471807,9026.674497,7879.032908,15951.4169,5944.838728,3603.755703,208993.0913,68692.86324,197905.5302,395325.1366,314742.4732,322203.4884
170.3752355,856.3011125,4682.849601,6261.646856,16262.06134,12655.47993,7356.918151,74696.83287,14285.0354,52458.0022,104088.563,88921.53934,91336.54816
184.8562528,746.8863236,1531.476547,4149.769471,20614.00396,39944.42424,28776.1354,121954.699,37578.31448,160665.7355,336359.5912,311231.2238,424596.7685
166.1318474,4057.754137,5813.930189,12967.69125,41379.13357,18747.81422,12272.88637,321789.1396,58089.98074,304300.5347,254782.2432,183370.3897,219712.0538
242.0214723,0,0,0,0,0,0,227234.2532,60647.2168,121336.4189,192652.4232,153057.8132,146222.3375
134.0460067,8585.876038,8364.088666,13575.93051,13237.35635,8823.954343,7462.164568,70062.85553,21731.55606,33863.15504,74337.60739,65633.40609,58367.11341
